Configuration,accuracy,f1,precision,recall,zero_shot_accuracy,zero_shot_f1,zero_shot_precision,zero_shot_recall
best_config_xgb_2_5,0.7050900260257936,0.704808029839681,0.7058588177380705,0.7050900260257936,0.5898734177215189,0.5747219994997498,0.5783178615024733,0.5898734177215189
best_config_xgb_2_6,0.7186519799920665,0.7182630647988193,0.7197756474879629,0.7186519799920665,0.5876582278481013,0.5750517297941179,0.5761928948387844,0.5876582278481013
best_config_xgb_2_7,0.7139629833879972,0.7136884450716459,0.7147322787272246,0.7139629833879972,0.5977848101265824,0.5834713353979859,0.5864950263925638,0.5977848101265824
best_config_xgb_2_8,0.7118088410298087,0.7115396952341684,0.7125776083332652,0.7118088410298087,0.591772151898734,0.5798798476244327,0.5814959629895636,0.591772151898734
best_config_xgb_2_9,0.717127681188866,0.7169067957816003,0.7177777633096604,0.717127681188866,0.6056962025316456,0.5929953071846408,0.5956425055890999,0.6056962025316456
best_config_xgb_2_10,0.700251550421347,0.6999474830855328,0.7010485005310558,0.700251550421347,0.5971518987341773,0.5866363172658499,0.5875781248828214,0.5971518987341773
best_config_xgb_3_1,0.7210578085946949,0.7205193207207116,0.7228057047358089,0.7210578085946949,0.6142405063291139,0.6065485280226498,0.6072204932220767,0.6142405063291139
best_config_xgb_3_2,0.6385737321615739,0.6329864421593667,0.6491081157852336,0.6385737321615739,0.5819620253164557,0.581471267943498,0.5827145119161068,0.5819620253164557
best_config_xgb_3_3,0.6385737321615739,0.6329864421593667,0.6491081157852336,0.6385737321615739,0.5819620253164557,0.581471267943498,0.5827145119161068,0.5819620253164557
best_config_xgb_3_4,0.6385737321615739,0.6329864421593667,0.6491081157852336,0.6385737321615739,0.5819620253164557,0.581471267943498,0.5827145119161068,0.5819620253164557
best_config_xgb_3_5,0.6385737321615739,0.6329864421593667,0.6491081157852336,0.6385737321615739,0.5819620253164557,0.581471267943498,0.5827145119161068,0.5819620253164557
best_config_xgb_3_6,0.6385737321615739,0.6329864421593667,0.6491081157852336,0.6385737321615739,0.5819620253164557,0.581471267943498,0.5827145119161068,0.5819620253164557
best_config_xgb_3_7,0.6385737321615739,0.6329864421593667,0.6491081157852336,0.6385737321615739,0.5819620253164557,0.581471267943498,0.5827145119161068,0.5819620253164557
best_config_xgb_3_8,0.6385737321615739,0.6329864421593667,0.6491081157852336,0.6385737321615739,0.5819620253164557,0.581471267943498,0.5827145119161068,0.5819620253164557
best_config_xgb_3_9,0.6385737321615739,0.6329864421593667,0.6491081157852336,0.6385737321615739,0.5819620253164557,0.581471267943498,0.5827145119161068,0.5819620253164557
best_config_xgb_3_10,0.6385737321615739,0.6329864421593667,0.6491081157852336,0.6385737321615739,0.5819620253164557,0.581471267943498,0.5827145119161068,0.5819620253164557
best_config_xgb_3_11,0.6385737321615739,0.6329864421593667,0.6491081157852336,0.6385737321615739,0.5819620253164557,0.581471267943498,0.5827145119161068,0.5819620253164557
best_config_xgb_3_12,0.6385737321615739,0.6329864421593667,0.6491081157852336,0.6385737321615739,0.5819620253164557,0.581471267943498,0.5827145119161068,0.5819620253164557
best_config_xgb_3_13,0.6385737321615739,0.6329864421593667,0.6491081157852336,0.6385737321615739,0.5819620253164557,0.581471267943498,0.5827145119161068,0.5819620253164557
best_config_xgb_3_14,0.6385737321615739,0.6329864421593667,0.6491081157852336,0.6385737321615739,0.5819620253164557,0.581471267943498,0.5827145119161068,0.5819620253164557
best_config_xgb_3_15,0.6355276949125211,0.6305412764162817,0.644801909117796,0.6355276949125211,0.581012658227848,0.578444701058744,0.5795715526424072,0.581012658227848
best_config_xgb_3_16,0.6355276949125211,0.6305412764162817,0.644801909117796,0.6355276949125211,0.581012658227848,0.578444701058744,0.5795715526424072,0.581012658227848
best_config_xgb_3_17,0.6355276949125211,0.6305412764162817,0.644801909117796,0.6355276949125211,0.581012658227848,0.578444701058744,0.5795715526424072,0.581012658227848
best_config_xgb_3_18,0.6355276949125211,0.6305412764162817,0.644801909117796,0.6355276949125211,0.581012658227848,0.578444701058744,0.5795715526424072,0.581012658227848
best_config_xgb_3_19,0.6355276949125211,0.6305412764162817,0.644801909117796,0.6355276949125211,0.581012658227848,0.578444701058744,0.5795715526424072,0.581012658227848
best_config_xgb_3_20,0.6355276949125211,0.6305412764162817,0.644801909117796,0.6355276949125211,0.581012658227848,0.578444701058744,0.5795715526424072,0.581012658227848
best_config_xgb_3_21,0.6355276949125211,0.6305412764162817,0.644801909117796,0.6355276949125211,0.581012658227848,0.578444701058744,0.5795715526424072,0.581012658227848
best_config_xgb_3_22,0.6355276949125211,0.6305412764162817,0.644801909117796,0.6355276949125211,0.581012658227848,0.578444701058744,0.5795715526424072,0.581012658227848
best_config_xgb_3_23,0.6355276949125211,0.6305412764162817,0.644801909117796,0.6355276949125211,0.581012658227848,0.578444701058744,0.5795715526424072,0.581012658227848
best_config_xgb_3_24,0.6355276949125211,0.6305412764162817,0.644801909117796,0.6355276949125211,0.581012658227848,0.578444701058744,0.5795715526424072,0.581012658227848
best_config_xgb_3_25,0.6355276949125211,0.6305412764162817,0.644801909117796,0.6355276949125211,0.581012658227848,0.578444701058744,0.5795715526424072,0.581012658227848
best_config_xgb_3_26,0.6355276949125211,0.6305412764162817,0.644801909117796,0.6355276949125211,0.581012658227848,0.578444701058744,0.5795715526424072,0.581012658227848
best_config_xgb_3_27,0.6355276949125211,0.6305412764162817,0.644801909117796,0.6355276949125211,0.581012658227848,0.578444701058744,0.5795715526424072,0.581012658227848
best_config_xgb_3_28,0.6355276949125211,0.6305412764162817,0.644801909117796,0.6355276949125211,0.581012658227848,0.578444701058744,0.5795715526424072,0.581012658227848
best_config_xgb_3_29,0.6355276949125211,0.6305412764162817,0.644801909117796,0.6355276949125211,0.581012658227848,0.578444701058744,0.5795715526424072,0.581012658227848
best_config_xgb_3_30,0.6355276949125211,0.6305412764162817,0.644801909117796,0.6355276949125211,0.581012658227848,0.578444701058744,0.5795715526424072,0.581012658227848
best_config_xgb_3_31,0.6355276949125211,0.6305412764162817,0.644801909117796,0.6355276949125211,0.581012658227848,0.578444701058744,0.5795715526424072,0.581012658227848
best_config_xgb_3_32,0.6355276949125211,0.6305412764162817,0.644801909117796,0.6355276949125211,0.581012658227848,0.578444701058744,0.5795715526424072,0.581012658227848
