uniprot_id,database,processed,has_go_terms,has_go_terms_pair
P30575,MoonProt3,True,True,True
Q9HAU5,MoonDB,True,True,True
Q9Y3E5,MoonProt3,True,True,True
P61459,MoonProt3,True,True,True
P0AFW0,MoonProt3,True,True,True
P07017,MoonProt3,True,True,True
Q9NR28,MoonDB,True,True,True
Q9NPD3,MoonDB,True,True,True
P04049,MoonDB,True,True,True
Q07637,MoonProt3,True,True,True
A0A1D8PFS4,MoonProt3,True,True,True
Q9H190,MoonDB,True,True,True
P99999,MoonDB,True,True,True
P21266,MoonProt3,True,True,True
Q9H0A6,MoonDB,True,True,True
P76015,MoonProt3,True,True,True
P16858,MoonProt3,True,True,True
P00330,MoonDB,True,True,True
A5D8V6,MoonDB,True,True,True
Q6Q3I2,MoonProt3,True,True,True
P07250,MoonProt3,True,True,True
P00558,MoonProt3,True,True,True
P00360,MoonDB,True,True,True
Q95VF2,MoonProt3,True,False,False
P42834,MoonDB,True,True,True
P0CT31,MoonProt3,True,True,True
Q12018,MoonDB,True,True,True
P12425,MoonProt3,True,True,True
P31658,MoonProt3,True,True,True
P0CG47,MoonDB,True,True,True
P68767,MoonProt3,True,True,True
Q42403,MoonProt3,True,True,True
P38011,MoonProt3,True,True,True
P50552,MoonDB,True,True,True
P37887,MoonProt3,True,True,True
P30822,MoonDB,True,True,True
Q24803,MoonProt3,True,True,True
P60520,MoonDB,True,True,True
P25788,MoonDB,True,True,True
P00924,MoonProt3,True,True,True
Q8N3Y7,MoonProt3,True,True,True
P27986,MoonDB,True,True,True
P62258,MoonDB,True,True,True
P08621,MoonDB,True,True,True
P00925,MoonProt3,True,True,True
O00204,MoonDB,True,True,True
Q13387,MoonDB,True,True,True
P08670,MoonDB,True,True,True
P80188,MoonDB,True,True,True
P06744,MoonDB,True,True,True
Q8TB24,MoonDB,True,True,True
P53675,MoonDB,True,True,True
P78352,MoonDB,True,True,True
P47543,MoonProt3,True,True,True
P01583,MoonProt3,True,True,True
Q13501,MoonDB,True,True,True
Q15046,MoonProt3,True,True,True
O95166,MoonDB,True,True,True
P9WK17,MoonProt3,True,True,True
P23872,MoonProt3,True,True,True
Q96RG2,MoonDB,True,True,True
Q8TBC4,MoonDB,True,True,True
P60174,MoonProt3,True,True,True
P17931,MoonDB,True,True,True
P09038,MoonProt3,True,True,True
P21333,MoonDB,True,True,True
P00445,MoonProt3,True,True,True
Q93062,MoonDB,True,True,True
O04019,MoonProt3,True,True,True
Q9H307,MoonProt3,True,True,True
P04406,MoonProt3,True,True,True
P28241,MoonProt3,True,True,True
P55084,MoonProt3,True,True,True
P42227,MoonProt3,True,True,True
Q12349,MoonDB,True,True,True
P00359,MoonProt3,True,True,True
P00358,MoonDB,True,True,True
P47017,MoonDB,True,True,True
P15303,MoonDB,True,True,True
P63159,MoonProt3,True,True,True
P19414,MoonDB,True,True,True
P62328,MoonProt3,True,True,True
P68105,MoonProt3,True,True,True
Q9VMB4,MoonProt3,True,True,True
P27487,MoonProt3,True,True,True
Q9MZB4,MoonProt3,True,True,True
P06168,MoonProt3,True,True,True
P00734,MoonDB,True,True,True
Q05513,MoonDB,True,True,True
Q9CXW4,MoonProt3,True,True,True
P52735,MoonDB,True,True,True
Q8WV44,MoonDB,True,True,True
O00291,MoonDB,True,True,True
P22736,MoonDB,True,True,True
P11103,MoonProt3,True,True,True
Q8TAD8,MoonDB,True,True,True
Q15428,MoonProt3,True,True,True
P63165,MoonDB,True,True,True
Q24314,MoonProt3,True,True,True
P62829,MoonProt3,True,True,True
P62081,MoonProt3,True,True,True
O94906,MoonDB,True,True,True
P9WPW9,MoonProt3,True,True,True
Q7LX99,MoonProt3,True,True,True
P11940,MoonDB,True,True,True
P51948,MoonDB,True,True,True
P42858,MoonDB,True,True,True
P63208,MoonDB,True,True,True
P61254,MoonProt3,True,True,True
O00308,MoonDB,True,True,True
P62310,MoonDB,True,True,True
Q9BZR9,MoonDB,True,True,True
P40429,MoonProt3,True,True,True
P10809,MoonProt3,True,True,True
Q13153,MoonDB,True,True,True
P62277,MoonProt3,True,True,True
Q9BSI4,MoonDB,True,True,True
P27635,MoonProt3,True,True,True
P0A7E9,MoonProt3,True,True,True
O00560,MoonDB,True,True,True
P62913,MoonProt3,True,True,True
Q8NEU8,MoonDB,True,True,True
Q9C035,MoonDB,True,True,True
P52286,MoonDB,True,True,True
Q8IXK0,MoonDB,True,True,True
Q05080,MoonDB,True,True,True
Q63HR2,MoonDB,True,True,True
O75604,MoonDB,True,True,True
P46777,MoonProt3,True,True,True
Q08379,MoonDB,True,True,True
O43464,MoonDB,True,True,True
P27302,MoonProt3,True,True,True
P23381,MoonProt3,True,True,True
O00499,MoonDB,True,True,True
P04797,MoonProt3,True,True,True
P62993,MoonDB,True,True,True
P27361,MoonDB,True,True,True
P62263,MoonProt3,True,True,True
Q13825,MoonProt3,True,True,True
Q27727,MoonProt3,True,True,True
P41250,MoonProt3,True,True,True
Q9P2J5,MoonProt3,True,True,True
P47897,MoonProt3,True,True,True
B9VJ59,MoonProt3,True,True,True
P63279,MoonDB,True,True,True
P05141,MoonProt3,True,True,True
P21860,MoonDB,True,True,True
Q9UMS4,MoonDB,True,True,True
Q04637,MoonProt3,True,True,True
P62136,MoonDB,True,True,True
P21399,MoonProt3,True,True,True
P33421,MoonProt3,True,True,True
P17710,MoonProt3,True,True,True
Q13200,MoonDB,True,True,True
P49407,MoonProt3,True,True,True
P67809,MoonProt3,True,True,True
P28834,MoonProt3,True,True,True
P46937,MoonProt3,True,True,True
P02730,MoonProt3,True,True,True
P09429,MoonProt3,True,True,True
P34760,MoonProt3,True,True,True
P04075,MoonProt3,True,True,True
P27797,MoonProt3,True,True,True
P13716,MoonProt3,True,True,True
P43138,MoonProt3,True,True,True
P36873,MoonDB,True,True,True
Q61371,MoonProt3,True,True,True
Q9UTI7,MoonProt3,True,True,True
P61088,MoonDB,True,True,True
Q9NUX5,MoonDB,True,True,True
P60723,MoonProt3,True,True,True
Q9UNE7,MoonDB,True,True,True
P68400,MoonDB,True,True,True
Q9UKG1,MoonDB,True,True,True
Q8N8N0,MoonDB,True,True,True
Q05201,MoonProt3,True,True,True
Q8WZ42,MoonDB,True,True,True
P14618,MoonProt3,True,True,True
P55072,MoonDB,True,True,True
P38936,MoonDB,True,True,True
Q92569,MoonDB,True,True,True
P45850,MoonProt3,True,True,True
Q9ZVD5,MoonProt3,True,True,True
Q28399,MoonProt3,True,True,True
P01023,MoonDB,True,True,True
P00812,MoonProt3,True,True,True
P34896,MoonProt3,True,True,True
Q8WWY3,MoonProt3,True,True,True
Q95017,MoonDB,True,True,True
P04818,MoonProt3,True,True,True
O15530,MoonDB,True,True,True
P68036,MoonDB,True,True,True
P28702,MoonDB,True,True,True
P06241,MoonDB,True,True,True
P36776,MoonDB,True,True,True
Q13596,MoonDB,True,True,True
P04156,MoonDB,True,True,True
P25911,MoonDB,True,True,True
P30041,MoonProt3,True,True,True
Q96B02,MoonDB,True,True,True
Q9Y2D1,MoonProt3,True,True,True
P11142,MoonDB,True,True,True
P11325,MoonProt3,True,True,True
P27540,MoonDB,True,True,True
P43405,MoonDB,True,True,True
Q15024,MoonDB,True,True,True
P25539,MoonProt3,True,True,True
Q6ZNA4,MoonDB,True,True,True
P63085,MoonDB,True,True,True
P16333,MoonDB,True,True,True
Q9P2N6,MoonProt3,True,True,True
P06243,MoonDB,True,True,True
P14373,MoonDB,True,True,True
P46527,MoonDB,True,True,True
P98170,MoonDB,True,True,True
Q7Z3B3,MoonProt3,True,True,True
P07550,MoonDB,True,True,True
P29350,MoonDB,True,True,True
P32243,MoonDB,True,True,True
P14859,MoonProt3,True,True,True
P17256,MoonProt3,True,True,True
P10503,MoonProt3,True,True,True
P61086,MoonDB,True,True,True
P38398,MoonProt3,True,True,True
P10275,MoonDB,True,True,True
P07814,MoonProt3,True,True,True
Q9BYF1,MoonProt3,True,True,True
P45880,MoonProt3,True,True,True
P61964,MoonProt3,True,True,True
Q96EZ8,MoonProt3,True,True,True
Q5A0M4,MoonProt3,True,True,True
Q15797,MoonDB,True,True,True
P19447,MoonProt3,True,True,True
