accession_code,go_id,category
O62479,GO:0005737,C
O62479,GO:0042802,F
O62479,GO:0019904,F
O62479,GO:0007099,P
O62479,GO:0008104,P
O62479,GO:0051726,P
P47017,GO:0005737,C
P47017,GO:1990726,C
P47017,GO:0005634,C
P47017,GO:0000932,C
P47017,GO:0003682,F
P47017,GO:0003729,F
P47017,GO:0000290,P
P47017,GO:0000288,P
P00812,GO:0005829,C
P00812,GO:1903269,C
P00812,GO:0004053,F
P00812,GO:0030145,F
P00812,GO:0090369,F
P00812,GO:0008270,F
P00812,GO:0019547,P
P00812,GO:0090368,P
Q28399,GO:0032991,C
Q28399,GO:0042802,F
Q28399,GO:0051287,F
Q28399,GO:0001758,F
Q28399,GO:0005198,F
Q28399,GO:0042574,P
P36969,GO:0005829,C
P36969,GO:0032991,C
P36969,GO:0004602,F
P36969,GO:0042802,F
P36969,GO:0047066,F
P36969,GO:0019369,P
P36969,GO:0019372,P
P36969,GO:0042759,P
P36969,GO:0006644,P
P36969,GO:0051258,P
P09041,GO:0005929,C
P09041,GO:0035686,C
P09041,GO:0004618,F
P09041,GO:0030317,P
P09041,GO:0006096,P
O09061,GO:0005829,C
O09061,GO:0005654,C
O09061,GO:0005839,C
A2ABV5,GO:0016592,C
A2ABV5,GO:0005654,C
A2ABV5,GO:0035019,P
O55164,GO:0098978,C
O55164,GO:0014069,C
O55164,GO:0035556,P
O55164,GO:0042552,P
Q8IXK0,GO:0005654,C
Q8IXK0,GO:0005634,C
Q8IXK0,GO:0031519,C
Q8IXK0,GO:0035102,C
Q8IXK0,GO:0042802,F
P04049,GO:0005737,C
P04049,GO:0005829,C
P04049,GO:0005794,C
P04049,GO:0005741,C
P04049,GO:0005886,C
P04049,GO:0019899,F
P04049,GO:0042802,F
P04049,GO:0004672,F
P04049,GO:0004674,F
P04049,GO:0007190,P
P04049,GO:0006915,P
P04049,GO:0043066,P
P04049,GO:0008285,P
P04049,GO:0031333,P
P04049,GO:0043410,P
P04049,GO:0033138,P
P04049,GO:0006468,P
P04049,GO:0042981,P
P04049,GO:0045595,P
P04049,GO:0035023,P
P04049,GO:0007165,P
P04049,GO:0060333,P
P04049,GO:0042060,P
P14859,GO:0005783,C
P14859,GO:0043231,C
P14859,GO:0005654,C
P14859,GO:0005634,C
P14859,GO:0090575,C
P14859,GO:0003677,F
P14859,GO:0001228,F
P14859,GO:0000981,F
P14859,GO:0042802,F
P14859,GO:0000978,F
P14859,GO:0000979,F
P14859,GO:0043565,F
P14859,GO:0045892,P
P14859,GO:1902895,P
P14859,GO:0045944,P
P21187,GO:0005737,C
P21187,GO:1990904,C
P21187,GO:0003730,F
P21187,GO:0008143,F
P21187,GO:0007268,P
P21187,GO:0009953,P
P21187,GO:0007112,P
P21187,GO:0007140,P
P21187,GO:0000398,P
P21187,GO:0048599,P
P21187,GO:0048477,P
P21187,GO:0045727,P
P21187,GO:0045314,P
P21187,GO:0007289,P
P21187,GO:0007283,P
O94760,GO:0005829,C
O94760,GO:0003824,F
O94760,GO:0016403,F
O94760,GO:0006527,P
O94760,GO:0000052,P
O94760,GO:0008285,P
O94760,GO:1900038,P
O94760,GO:0043116,P
O94760,GO:0007263,P
O94760,GO:0046209,P
P17256,GO:0005737,C
P17256,GO:0005777,C
P17256,GO:0005524,F
P17256,GO:0042802,F
P17256,GO:0000287,F
P17256,GO:0004496,F
P17256,GO:0003729,F
P17256,GO:1990825,F
P17256,GO:0019287,P
P17256,GO:0008299,P
P17256,GO:0006720,P
P17256,GO:0017148,P
P17256,GO:0016125,P
P09546,GO:0009898,C
P09546,GO:0005829,C
P09546,GO:0005886,C
P09546,GO:0003842,F
P09546,GO:0000987,F
P09546,GO:0003677,F
P09546,GO:0001217,F
P09546,GO:0050660,F
P09546,GO:0042802,F
P09546,GO:0004657,F
P09546,GO:0042803,F
P09546,GO:0043565,F
P09546,GO:0045892,P
P09546,GO:0010133,P
P09546,GO:0006979,P
P14738,GO:0070051,F
P14738,GO:0001968,F
P14738,GO:0098630,P
P31725,GO:0001533,C
P31725,GO:1990662,C
P31725,GO:0030036,P
P31725,GO:0014002,P
P31725,GO:0030595,P
P31725,GO:0002790,P
P31725,GO:0018119,P
P31725,GO:0030194,P
P31725,GO:0002793,P
P31725,GO:0045113,P
P31725,GO:0006417,P
O14011,GO:0071014,C
O14011,GO:0000974,C
O14011,GO:0005681,C
O14011,GO:0045292,P
P21327,GO:0052829,F
P21327,GO:0004441,F
O61722,GO:0005737,C
O61722,GO:0005886,C
O61722,GO:0071244,P
O61722,GO:0030514,P
P62993,GO:0005813,C
P62993,GO:0008180,C
P62993,GO:0005737,C
P62993,GO:0005829,C
P62993,GO:0005768,C
P62993,GO:0070436,C
P62993,GO:0005634,C
P62993,GO:0046875,F
P62993,GO:0005154,F
P62993,GO:0005091,F
P62993,GO:0042802,F
P62993,GO:0043560,F
P62993,GO:0005168,F
P62993,GO:0001784,F
P62993,GO:0019901,F
P62993,GO:0030674,F
P62993,GO:0017124,F
P62993,GO:0030036,P
P62993,GO:0071479,P
P62993,GO:0007173,P
P62993,GO:0008286,P
P62993,GO:0042267,P
P62993,GO:0045953,P
P62993,GO:2000379,P
P62993,GO:0007265,P
P62993,GO:0031623,P
P62993,GO:0042770,P
P62993,GO:0042110,P
Q3HL75,GO:0009986,C
Q3HL75,GO:0005829,C
Q3HL75,GO:0009897,C
Q3HL75,GO:0004634,F
Q3HL75,GO:0019904,F
O75400,GO:0016363,C
O75400,GO:0005654,C
O75400,GO:0016477,P
O75400,GO:0007010,P
O75400,GO:0008360,P
O75400,GO:0032465,P
P68105,GO:0005829,C
P68105,GO:0005525,F
P68105,GO:0019001,F
P68105,GO:0003746,F
O95727,GO:0005886,C
O95727,GO:0042802,F
O95727,GO:0005102,F
O95727,GO:0008037,P
O95727,GO:0051606,P
O95727,GO:0002355,P
O95727,GO:0001819,P
O95727,GO:0045954,P
O95727,GO:0002860,P
Q05080,GO:0005938,C
Q05080,GO:0005935,C
Q05080,GO:0000142,C
Q05080,GO:0000144,C
Q05080,GO:0044697,C
Q05080,GO:0120155,C
Q05080,GO:0030427,C
Q05080,GO:0051015,F
Q05080,GO:0008092,F
Q05080,GO:0042802,F
Q05080,GO:0032038,F
Q05080,GO:0005543,F
Q05080,GO:0044877,F
Q05080,GO:0051017,P
Q05080,GO:1903475,P
Q05080,GO:1902404,P
Q05080,GO:0000281,P
Q05080,GO:0051126,P
Q05080,GO:0090339,P
Q05080,GO:0031671,P
Q05080,GO:0072741,P
Q05080,GO:1903471,P
P25233,GO:0042995,C
P25233,GO:0005813,C
P25233,GO:0005737,C
P25233,GO:0005829,C
P25233,GO:0005634,C
P25233,GO:0032991,C
P25233,GO:0043015,F
P25233,GO:1990841,F
P25233,GO:0048675,P
P25233,GO:0007413,P
P25233,GO:0007409,P
P25233,GO:0007417,P
P25233,GO:0071514,P
P25233,GO:0008347,P
P25233,GO:0048871,P
P25233,GO:0000122,P
P25233,GO:0048666,P
P25233,GO:0030182,P
P25233,GO:0001764,P
P25233,GO:0048011,P
P25233,GO:0045944,P
P25233,GO:0009791,P
P25233,GO:0006355,P
P25233,GO:0007585,P
P25233,GO:0003016,P
P25233,GO:0019233,P
O75129,GO:0005509,F
O75129,GO:0043533,F
Q9GZM8,GO:0005829,C
Q9GZM8,GO:0000776,C
Q9GZM8,GO:0042802,F
Q9GZM8,GO:0007059,P
Q9GZM8,GO:0043547,P
Q9GZM8,GO:0033157,P
P0ABV6,GO:0032153,C
P0ABV6,GO:0005886,C
P0ABV6,GO:0043213,P
P0ABV6,GO:0051301,P
P0ABV6,GO:0090529,P
A8KC60,GO:0001525,P
A8KC60,GO:0001569,P
A8KC60,GO:1903670,P
A8KC60,GO:0001944,P
P63165,GO:0005829,C
P63165,GO:0016604,C
P63165,GO:0031965,C
P63165,GO:0005643,C
P63165,GO:0097165,C
P63165,GO:0005730,C
P63165,GO:0005654,C
P63165,GO:0005634,C
P63165,GO:0005886,C
P63165,GO:0016605,C
P63165,GO:0019899,F
P63165,GO:0015459,F
P63165,GO:0031386,F
P63165,GO:0044388,F
P63165,GO:0031625,F
P63165,GO:1990381,F
P63165,GO:0071276,P
P63165,GO:0034605,P
P63165,GO:0006281,P
P63165,GO:0045759,P
P63165,GO:1902260,P
P63165,GO:0043392,P
P63165,GO:0043433,P
P63165,GO:0045892,P
P63165,GO:1901017,P
P63165,GO:0042308,P
P63165,GO:0010621,P
P63165,GO:0032436,P
P63165,GO:0031334,P
P63165,GO:0050821,P
P63165,GO:0016925,P
P63165,GO:0032880,P
P10809,GO:0009986,C
P10809,GO:0005905,C
P10809,GO:0030135,C
P10809,GO:0005737,C
P10809,GO:0005829,C
P10809,GO:0005769,C
P10809,GO:0070062,C
P10809,GO:0005615,C
P10809,GO:0046696,C
P10809,GO:0005759,C
P10809,GO:0005739,C
P10809,GO:0005886,C
P10809,GO:0032991,C
P10809,GO:0097225,C
P10809,GO:0034186,F
P10809,GO:0034185,F
P10809,GO:0140608,F
P10809,GO:0003725,F
P10809,GO:0019899,F
P10809,GO:0008035,F
P10809,GO:0001530,F
P10809,GO:0002039,F
P10809,GO:0051087,F
P10809,GO:0031625,F
P10809,GO:0042113,P
P10809,GO:0042100,P
P10809,GO:0051702,P
P10809,GO:0048291,P
P10809,GO:0002755,P
